,Tweets,len,ID,Date,Source,Likes,RT
141,"Congratulated the energetic Tashi Namgyal, who has been supporting the education of young children from poor econom… https://t.co/kRQ6jvS1Cd",140,1088425048849866753,2019-01-24 13:15:28,Twitter Web Client,5100,1126
142,Youngsters like Eiha Dixit indicate that the Yuva Shakti of India will do outstanding things. She celebrated her 6t… https://t.co/aX5DSejJi4,140,1088423991100956672,2019-01-24 13:11:16,Twitter Web Client,10581,2103
143,"Through theatre, Prathyaksha B R has been spreading awareness about the importance of toilets in homes. 

She condu… https://t.co/JOk5mTr1B5",140,1088423541320499201,2019-01-24 13:09:28,Twitter Web Client,7019,1540
144,"Meet Aryamaan Lakhotia from West Bengal. 

He founded ‘Toy Joy’ with the aim of collecting and distributing toys to… https://t.co/42EbojMdap",140,1088423055955714048,2019-01-24 13:07:33,Twitter Web Client,7009,1462
145,Delhi’s Madhav Lavakare made an affordable wearable assistive device for the hearing impaired called ‘Transcribe.’… https://t.co/yN04cjQ1iV,139,1088422808760111104,2019-01-24 13:06:34,Twitter Web Client,7040,1447
146,"Innovative Yuva Shakti! 

A U Nachiketh Kumar prepared standard rubber sheets from a fruit named Bilimbi (Averrhoa… https://t.co/lcHcpGejXk",139,1088422399157035008,2019-01-24 13:04:56,Twitter Web Client,6173,1380
147,"Naisargik Lenka is 16 and at such a young age, he worked on innovative solutions for remediation of contaminated so… https://t.co/CWygJaCtjk",140,1088422126191763456,2019-01-24 13:03:51,Twitter Web Client,5533,1240
148,"Saluting the innovative zeal of young India.

The projects Aswath Suryanarayanan steered include ‘Magnetically oper… https://t.co/BSPCXP9GSO",140,1088421716295004161,2019-01-24 13:02:13,Twitter Web Client,5106,1184
149,"Towering efforts, outstanding outcomes! 
Arunima Sen has done great work. She developed a model for energy efficien… https://t.co/xa2m0vQLt1",140,1088421383351070722,2019-01-24 13:00:54,Twitter Web Client,7321,1478
150,"My young friend Mohammed Suhail Chinya Salimpasha hails from Karnataka. 

He has been awarded the Bal Shakti Purask… https://t.co/JuoY2s1SK5",140,1088421027976114176,2019-01-24 12:59:29,Twitter Web Client,10085,1883
151,Had a wonderful interaction with winners of Rashtriya Bal Puraskar 2019. https://t.co/wPqvl2CL3Z,96,1088420463146000386,2019-01-24 12:57:14,Twitter Web Client,12183,2518
152,Having a great interaction with Karyakartas from Maharashtra. Watch. https://t.co/GOLEXovUEJ,92,1088030782407491585,2019-01-23 11:08:47,Periscope,15182,3285
153,"I am grateful to the Bose family for presenting me a cap worn by Netaji Bose himself. 

The cap has been immediatel… https://t.co/XJjzOffmEM",140,1087999705353617408,2019-01-23 09:05:18,Twitter Web Client,30053,6506
154,To see Gurudev Tagore’s works at Drishyakala is a treat for art lovers. We all know Gurudev Tagore as a prolific wr… https://t.co/He1GENTBv2,140,1087999022919569409,2019-01-23 09:02:35,Twitter Web Client,8072,1622
155,"Works of eminent Indian artists like Raja Ravi Varma, Gurudev Tagore, Amrita Sher-Gil, Abanindranath Tagore, Nandla… https://t.co/n2VZNZedzj",140,1087975847238213633,2019-01-23 07:30:30,Twitter Web Client,11714,2402
156,"I would specially urge art lovers to visit Drishyakala, which will take you through the finest aspects of Indian ar… https://t.co/R0NuVx3NbC",140,1087975109858656259,2019-01-23 07:27:34,Twitter Web Client,9086,2039
157,Museums on Netaji Bose and Azad Hind Fauj are a key part of Kranti Mandir. History echoes from these walls. In this… https://t.co/YLEpqB0Izc,140,1087974623126401025,2019-01-23 07:25:38,Twitter Web Client,15286,3624
158,"This complex includes Museums on Netaji Subhas Chandra Bose and the Indian National Army, Yaad-e-Jallian Museum (on… https://t.co/sd34TA2R70",140,1087974064453574656,2019-01-23 07:23:25,Twitter Web Client,6450,1670
159,"It was extremely humbling to inaugurate four museums relating to India's rich history and culture. 

This entire co… https://t.co/od1KkseB28",140,1087974061626585088,2019-01-23 07:23:24,Twitter Web Client,11189,2886
160,These museums being inaugurated today will deepen the connect between our glorious history and our youth as well as… https://t.co/zbE0vRtdE1,140,1087915887619907584,2019-01-23 03:32:14,Twitter for iPhone,17151,2993
161,"I will also inaugurate the Yaad-e-Jallian Museum (on Jallianwala Bagh and World War 1), Museum on 1857- India’s Fir… https://t.co/mKZYahsw0A",140,1087915563450621957,2019-01-23 03:30:57,Twitter for iPhone,9480,2220
162,"In a short while from now, I will be inaugurating Museums on Netaji Subhas Chandra Bose and the Indian National Arm… https://t.co/BXfnvWKQph",140,1087915069311279104,2019-01-23 03:28:59,Twitter for iPhone,17375,3484
163,Remembering the courageous Balasaheb Thackeray on his Jayanti. Respected Balasaheb was unwavering in his commitment… https://t.co/vAmo97vOxS,140,1087899641704792065,2019-01-23 02:27:41,Twitter for iPhone,22826,4731
164,"I bow to Netaji Subhas Chandra Bose on his Jayanti. 

He was a stalwart who committed himself towards ensuring Indi… https://t.co/pbZYfZjg4Y",140,1087898623830941696,2019-01-23 02:23:38,Twitter Media Studio,42157,9599
165,"My first brush with a big city, organisational duties in the RSS and a yearly 5-day journey to a remote forest duri… https://t.co/THe01Hhqfa",140,1087698131284684800,2019-01-22 13:06:57,Twitter Web Client,14004,3224
166,"Celebrate, do not fear exams.

I am glad that people not only from India but also from overseas are going to be a p… https://t.co/awPp8Dlr9Q",140,1087697141940637696,2019-01-22 13:03:01,Twitter Media Studio,12494,2806
167,Inaugurated Centers of Excellence at Deen Dayal Hastkala Sankul. These centres will give a boost to those associate… https://t.co/zP0htfWSGT,140,1087696980464168961,2019-01-22 13:02:23,Twitter Web Client,6938,1629
168,Made an announcement at the #PBD2019. Know what it is... https://t.co/Y8Y5FfLGX1,80,1087696489793478659,2019-01-22 13:00:26,Twitter Media Studio,7015,1847
169,"At the peak of his party’s power, a former PM said that for every Rupee, only 15 paisa reaches the poor. Which was… https://t.co/DyiLKkWiew",139,1087696339041890305,2019-01-22 12:59:50,Twitter Media Studio,12050,3046
170,"India is at the forefront of global leadership in various sectors. 

Our country is undertaking numerous initiative… https://t.co/LHsCOiwxpS",140,1087695903048134656,2019-01-22 12:58:06,Twitter Media Studio,7575,1905
171,Addressing the Pravasi Bharatiya Divas programme in Varanasi. Watch. https://t.co/BrhVZTLNxb,92,1087599556924137473,2019-01-22 06:35:15,Periscope,17072,3886
172,Looking forward to being in beloved Kashi today for the Pravasi Bharatiya Divas. This is an excellent forum to enga… https://t.co/DnqDrdOQWh,140,1087536644935372805,2019-01-22 02:25:16,Twitter for iPhone,19867,3592
173,I have had the privilege to visit the Sree Siddaganga Mutt and receive the blessings of His Holiness Dr. Sree Sree… https://t.co/dM8PihPIvy,139,1087276438175113216,2019-01-21 09:11:18,Twitter Web Client,37706,7157
174,HH Dr. Sree Sree Sree Sivakumara Swamigalu remained at the forefront of ensuring better healthcare and education fa… https://t.co/nRFGrcrlEO,140,1087276094191894528,2019-01-21 09:09:56,Twitter Web Client,20588,4324
175,"His Holiness Dr. Sree Sree Sree Sivakumara Swamigalu lived for the people, especially the poor and vulnerable.  He… https://t.co/iw1QM5FS8c",139,1087275806382931968,2019-01-21 09:08:47,Twitter Web Client,35127,6733
176,"Statehood Day greetings to the people of Tripura. In less than a year, the state has made remarkable progress. It i… https://t.co/U9N6r66wVi",140,1087188677212569600,2019-01-21 03:22:34,Twitter for iPhone,18215,3392
177,Manipur is blessed with immense natural beauty and hardworking citizens. I can never forget the affection I have go… https://t.co/gioXLqYfOC,140,1087188465480093696,2019-01-21 03:21:43,Twitter for iPhone,24877,4417
178,"On the special occasion of their Statehood Day, greetings to the people of Meghalaya. 

People from Meghalaya have… https://t.co/fj6TUou3ui",139,1087188092891656192,2019-01-21 03:20:14,Twitter for iPhone,11976,2301
179,"Not losers but Rockstars! 

No selfie Jab We Met but there will always be another occasion. :) https://t.co/1Ud7D5jIvd",118,1086976920842051585,2019-01-20 13:21:07,Twitter Web Client,51706,8740
180,Happy to know! My best wishes. https://t.co/2RIREPVVSC,54,1086976038536728578,2019-01-20 13:17:37,Twitter Web Client,11088,1953
181,Thank you Divya Ji. https://t.co/wfnj7SE5lT,43,1086975969641070592,2019-01-20 13:17:20,Twitter Web Client,17749,2253
182,"The entire nation admires Jeetendra Ji for his acting. And, as I said yesterday, he is full of energy! https://t.co/lduFaOnvpu",126,1086975822584524800,2019-01-20 13:16:45,Twitter Web Client,27605,4250
183,"As far as the issue of mining in Goa is concerned, the Centre, State Government and BJP MPs from the state are look… https://t.co/oKMYAkdOkt",140,1086975544774807553,2019-01-20 13:15:39,Twitter Media Studio,8323,1924
184,"The NDA government in unwavering in our commitment to social justice. 

Those who ruled the nation for years had no… https://t.co/9jh7ppdqf6",140,1086972286937243648,2019-01-20 13:02:42,Twitter Media Studio,9057,2106
185,"NDA governments at the Centre and Maharashtra have undertaken record number of initiatives for the farmers. 

On th… https://t.co/5d67odBfyF",140,1086972063691259904,2019-01-20 13:01:49,Twitter Media Studio,7357,1821
186,"उनके पास धन शक्ति है, हमारे पास जन शक्ति है।

उनको अपना परिवार बचाना है, हमें देश बनाना है। https://t.co/JoMTl58SkO",115,1086971760162033664,2019-01-20 13:00:37,Twitter Media Studio,22922,5319
187,"This question by a @BJP4Maharashtra Karyakarta reminded me of the days when I worked in the party organisation. 

I… https://t.co/EtJ62zA7qU",140,1086971447568932864,2019-01-20 12:59:22,Twitter Web Client,6040,1439
188,Interacting with BJP Karyakartas from Maharashtra and Goa. Watch. https://t.co/CspK2fzfE4,89,1086884960491823106,2019-01-20 07:15:42,Periscope,11907,2839
